id,no_surah,nama_surah,ayat,hukum_tajwid
1,78,An-Naba,1,"Ghunnah, Mad Wajib Muttasil"
2,78,An-Naba,2,"Asy Syamsiyah, Ghunnah, Al Qomariyah"
3,78,An-Naba,3,"Asy Syamsiyah, Mad Thobii, Idzhar Syafawi"
4,78,An-Naba,4,Mad Thobii
5,78,An-Naba,5,"Ghunnah, Mad Thobii"
6,78,An-Naba,6,"Idzhar Syafawi, Ghunnah, Al Qomariyah, Mad Thobii, Mad Iwadh"
7,78,An-Naba,7,"Al Qomariyah, Mad Thobii, Mad Iwadh"
8,78,An-Naba,8,"Qolqolah, Mad Thobii, Idzhar Syafawi, Mad Iwadh"
9,78,An-Naba,9,"Mad Thobii, Idzhar Syafawi, Mad Iwadh"
10,78,An-Naba,10,"Mad Thobii, Asy Syamsiyah, Mad Iwadh"
11,78,An-Naba,11,"Mad Thobii, Asy Syamsiyah, Ghunnah, Mad Iwadh"
12,78,An-Naba,12,"Mad Thobii, Idzhar Syafawi, Qolqolah, Ikhfa, Mad Iwadh"
13,78,An-Naba,13,"Mad Thobii, Idhghom Bighunnah, Mad Iwadh"
14,78,An-Naba,14,"Ikhfa, Mad Thobii, Al Qomariyah, Mad Wajib Muttasil, Ikhfa, Mad Iwadh"
15,78,An-Naba,15,"Mad Shilah Qoshiroh, Idhghom Bighunnah, Mad Iwadh"
16,78,An-Naba,16,"Ghunnah, Mad Thobii, Idzhar, Mad Iwadh"
17,78,An-Naba,17,"Ghunnah, Al Qomariyah, Mad Thobii, Mad Iwadh"
18,78,An-Naba,18,"Ikhfa, Asy Syamsiyah, Mad Thobii, Mad Iwadh"
19,78,An-Naba,19,"Asy Syamsiyah, Mad Wajib Muttasil, Mad Thobii, Mad Iwadh"
20,78,An-Naba,20,"Al Qomariyah, Mad Thobii, Mad Iwadh"
21,78,An-Naba,21,"Ghunnah, Mad Thobii, Mad Iwadh"
22,78,An-Naba,22,"Mad Thobii, Mad Badal, Mad Iwadh"
23,78,An-Naba,23,"Mad Thobii, Mad Jaiz Munfasil, Mad Iwadh"
24,78,An-Naba,24,"Mad Thobii, Idhghom Bighunnah, Mad Iwadh"
25,78,An-Naba,25,"Mad Thobii, Idhghom Bighunnah, Mad Iwadh"
26,78,An-Naba,26,"Mad Wajib Muttasil, Idhghom Bighunnah, Mad Iwadh"
27,78,An-Naba,27,"Ghunnah, Idzhar Syafawi, Mad Thobii, Mad Iwadh"
28,78,An-Naba,28,"Mad Thobii, Mad Badal, Mad Iwadh"
29,78,An-Naba,29,"Idzhar, Mad Thobii, Mad Iwadh"
30,78,An-Naba,30,"Mad Thobii, Idhghom Bighunnah, Idzhar Syafawi, Mad Iwadh"
31,78,An-Naba,31,"Ghunnah, Mad Thobii, Mad Iwadh"
32,78,An-Naba,32,"Mad Wajib Muttasil, Mad Thobii, Mad Iwadh"
33,78,An-Naba,33,"Mad Thobii, Mad Iwadh"
34,78,An-Naba,34,"Ikhfa, Mad Thobii, Mad Iwadh"
35,78,An-Naba,35,"Mad Thobii, Idhghom Bighunnah, Mad Iwadh"
36,78,An-Naba,36,"Mad Wajib Muttasil, Idhghom Bighunnah, Idhghom Bilaghunnah, Idzhar, Mad Thobii, Mad Iwadh"
37,78,An-Naba,37,"Asy Syamsiyah, Mad Thobii, Al Qomariyah, Idzhar Syafawi, Idzhar, Mad Iwadh"
38,78,An-Naba,38,"Mad Thobii, Asy Syamsiyah, Al Qomariyah, Mad Wajib Muttasil, Idhghom Bilaghunnah, Idzhar, Mad Iwadh"
39,78,An-Naba,39,"Mad Thobii, Al Qomariyah, Ikhfa, Mad Wajib Muttasil, Mad Shilah Qoshiroh, Mad Badal, Mad Iwadh"
40,78,An-Naba,40,"Ghunnah, Mad Jaiz Munfasil, Ikhfa, Mad Thobii, Idzhar Syafawi, Idhghom Bighunnah, Al Qomariyah, Mad Iwadh"
41,79,An-Naziat,1,"Asy Syamsiyah, Ghunnah, Mad Thobii, Mad Iwadh"
42,79,An-Naziat,2,"Asy Syamsiyah, Ghunnah, Mad Thobii, Mad Iwadh"
43,79,An-Naziat,3,"Asy Syamsiyah, Mad Thobii, Qolqolah, Mad Iwadh"
44,79,An-Naziat,4,"Asy Syamsiyah, Mad Thobii, Qolqolah, Mad Iwadh"
45,79,An-Naziat,5,"Al Qomariyah, Mad Thobii, Idzhar Syafawi, Mad Iwadh"
46,79,An-Naziat,6,"Asy Syamsiyah, Mad Thobii"
47,79,An-Naziat,7,"Asy Syamsiyah, Mad Thobii"
48,79,An-Naziat,8,"Mad Thobii, Idhghom Bighunnah"
49,79,An-Naziat,9,"Qolqolah, Mad Thobii"
50,79,An-Naziat,10,"Mad Thobii, Ghunnah, Al Qomariyah"
51,79,An-Naziat,11,"Mad Thobii, Ghunnah, Idhghom Bighunnah"
52,79,An-Naziat,12,"Mad Thobii, Ikhfa, Idzhar"
53,79,An-Naziat,13,"Ghunnah, Mad Thobii, Qolqolah, Idhghom Bighunnah"
54,79,An-Naziat,14,"Mad Thobii, Ikhfa Syafawi, Asy Syamsiyah"
55,79,An-Naziat,15,Mad Thobii
56,79,An-Naziat,16,"Mad Thobii, Mad Shilah Qoshiroh, Al Qomariyah, Mad Iwadh"
57,79,An-Naziat,17,"Qolqolah, Mad Thobii, Ghunnah, Mad Shilah Qoshiroh"
58,79,An-Naziat,18,"Mad Jaiz Munfasil, Ikhfa"
59,79,An-Naziat,19,Mad Thobii
60,79,An-Naziat,20,"Mad Thobii, Al Qomariyah, Qolqolah"
61,79,An-Naziat,21,Mad Thobii
62,79,An-Naziat,22,"Ghunnah, Qolqolah, Mad Thobii"
63,79,An-Naziat,23,Mad Thobii
64,79,An-Naziat,24,"Mad Thobii, Al Qomariyah"
65,79,An-Naziat,25,"Mad Thobii, Al Qomariyah"
66,79,An-Naziat,26,"Ghunnah, Mad Thobii, Qolqolah, Idhghom Bilaghunnah, Idhghom Bighunnah"
67,79,An-Naziat,27,"Ikhfa, Idzhar Syafawi, Idzhar, Asy Syamsiyah, Mad Wajib Muttasil, Mad Thobii"
68,79,An-Naziat,28,"Idzhar Syafawi, Mad Thobii"
69,79,An-Naziat,29,Mad Thobii
70,79,An-Naziat,30,"Al Qomariyah, Mad Thobii"
71,79,An-Naziat,31,"Idzhar, Mad Thobii, Mad Wajib Muttasil"
72,79,An-Naziat,32,"Al Qomariyah, Mad Thobii"
73,79,An-Naziat,33,"Mad Thobii, Idhghom Bilaghunnah, Idzhar Syafawi, Idzhar"
74,79,An-Naziat,34,"Mad Thobii, Mad Wajib Muttasil, Asy Syamsiyah, Mad Lazim Mutsaqqol Kalimi, Al Qomariyah, Qolqolah"
75,79,An-Naziat,35,"Al Qomariyah, Ikhfa, Mad Thobii"
76,79,An-Naziat,36,"Al Qomariyah, Mad Thobii, Idhghom Bighunnah"
77,79,An-Naziat,37,"Ghunnah, Mad Thobii, Ikhfa"
78,79,An-Naziat,38,"Mad Badal, Al Qomariyah, Mad Thobii, Asy Syamsiyah, Idzhar"
79,79,An-Naziat,39,"Ghunnah, Al Qomariyah, Mad Thobii"
80,79,An-Naziat,40,"Ghunnah, Mad Thobii, Idzhar, Mad Shilah Qoshiroh, Asy Syamsiyah, Al Qomariyah"
81,79,An-Naziat,41,"Ghunnah, Al Qomariyah, Mad Thobii"
82,79,An-Naziat,42,"Mad Thobii, Asy Syamsiyah"
83,79,An-Naziat,43,"Mad Thobii, Ikhfa"
84,79,An-Naziat,44,"Mad Thobii, Ikhfa"
85,79,An-Naziat,45,"Ghunnah, Mad Wajib Muttasil, Ikhfa, Idhghom Bighunnah, Mad Thobii"
86,79,An-Naziat,46,"Ghunnah, Idzhar Syafawi, Mad Thobii, Mad Jaiz Munfasil, Idzhar"
87,80,Abasa,1,Mad Thobii
88,80,Abasa,2,"Ikhfa, Mad Wajib Muttasil, Al Qomariyah, Mad Thobii"
89,80,Abasa,3,"Mad Thobii, Qolqolah, Mad Shilah Qoshiroh"
90,80,Abasa,4,"Ikhfa, Asy Syamsiyah, Mad Thobii"
91,80,Abasa,5,"Ghunnah, Mad Thobii"
92,80,Abasa,6,"Ikhfa, Mad Shilah Qoshiroh, Mad Thobii"
93,80,Abasa,7,Mad Thobii
94,80,Abasa,8,"Ghunnah, Mad Thobii, Ikhfa, Mad Wajib Muttasil"
95,80,Abasa,9,Mad Thobii
96,80,Abasa,10,"Ikhfa, Idzhar, Mad Thobii"
97,80,Abasa,11,"Mad Jaiz Munfasil, Ghunnah, Mad Thobii"
98,80,Abasa,12,"Ikhfa, Mad Wajib Muttasil"
99,80,Abasa,13,"Mad Thobii, Idhghom Bighunnah"
100,80,Abasa,14,"Mad Thobii, Idhghom Bighunnah"
101,80,Abasa,15,Mad Thobii
102,80,Abasa,16,"Mad Thobii, Iqlab"
103,80,Abasa,17,"Al Qomariyah, Ikhfa, Mad Thobii, Mad Jaiz Munfasil"
104,80,Abasa,18,Idzhar
105,80,Abasa,19,"Idhghom Bighunnah, Qolqolah, Idzhar, Mad Shilah Qoshiroh"
106,80,Abasa,20,"Ghunnah, Asy Syamsiyah, Mad Thobii"
107,80,Abasa,21,"Ghunnah, Mad Thobii, Mad Shilah Qoshiroh, Qolqolah"
108,80,Abasa,22,"Ghunnah, Mad Thobii, Mad Wajib Muttasil, Ikhfa"
109,80,Abasa,23,"Mad Thobii, Ghunnah, Qolqolah, Mad Jaiz Munfasil"
110,80,Abasa,24,"Ikhfa, Al Qomariyah, Mad Thobii"
111,80,Abasa,25,"Ghunnah, Mad Thobii, Qolqolah, Al Qomariyah, Mad Wajib Muttasil, Mad Iwadh"
112,80,Abasa,26,"Ghunnah, Qolqolah, Al Qomariyah, Mad Iwadh"
113,80,Abasa,27,"Iqlab, Mad Thobii, Mad Iwadh"
114,80,Abasa,28,"Idhghom Bighunnah, Mad Iwadh"
115,80,Abasa,29,"Mad Thobii, Idhghom Bighunnah, Mad Iwadh"
116,80,Abasa,30,"Mad Wajib Muttasil, Mad Iwadh"
117,80,Abasa,31,"Mad Thobii, Idhghom Bighunnah, Mad Iwadh"
118,80,Abasa,32,"Mad Thobii, Idhghom Bilaghunnah, Idzhar Syafawi, Idzhar"
119,80,Abasa,33,"Mad Thobii, Mad Wajib Muttasil, Asy Syamsiyah, Mad Lazim Mutsaqqol Kalimi"
120,80,Abasa,34,"Al Qomariyah, Idzhar"
121,80,Abasa,35,"Ghunnah, Mad Shilah Qoshiroh"
122,80,Abasa,36,"Mad Thobii, Mad Shilah Qoshiroh"
123,80,Abasa,37,"Idzhar Syafawi, Idhghom Bighunnah, Idzhar, Ikhfa"
124,80,Abasa,38,"Mad Thobii, Idhghom Bighunnah"
125,80,Abasa,39,"Mad Thobii, Idhghom Bighunnah, Qolqolah"
126,80,Abasa,40,"Mad Thobii, Idhghom Bighunnah, Idzhar"
127,80,Abasa,41,Mad Thobii
128,80,Abasa,42,"Mad Wajib Muttasil, Al Qomariyah"
129,81,At-Takwir,1,"Asy Syamsiyah, Idzhar Syafawi"
130,81,At-Takwir,2,"Asy Syamsiyah, Ghunnah, Mad Thobii, Ikhfa"
131,81,At-Takwir,3,"Al Qomariyah, Mad Thobii"
132,81,At-Takwir,4,"Al Qomariyah, Mad Thobii"
133,81,At-Takwir,5,"Al Qomariyah, Mad Thobii"
134,81,At-Takwir,6,"Al Qomariyah, Mad Thobii"
135,81,At-Takwir,7,"Asy Syamsiyah, Ghunnah, Mad Thobii"
136,81,At-Takwir,8,"Al Qomariyah, Mad Badal"
137,81,At-Takwir,9,"Iqlab, Ikhfa"
138,81,At-Takwir,10,Asy Syamsiyah
139,81,At-Takwir,11,"Asy Syamsiyah, Mad Wajib Muttasil"
140,81,At-Takwir,12,"Al Qomariyah, Mad Thobii"
141,81,At-Takwir,13,"Al Qomariyah, Ghunnah"
142,81,At-Takwir,14,"Idhghom Bighunnah, Mad Jaiz Munfasil"
143,81,At-Takwir,15,"Mad Jaiz Munfasil, Qolqolah, Al Qomariyah, Ghunnah"
144,81,At-Takwir,16,"Al Qomariyah, Mad Thobii, Ghunnah"
145,81,At-Takwir,17,"Asy Syamsiyah, Mad Thobii"
146,81,At-Takwir,18,"Asy Syamsiyah, Qolqolah, Mad Thobii"
147,81,At-Takwir,19,"Ghunnah, Mad Shilah Qoshiroh, Mad Thobii, Ikhfa"
148,81,At-Takwir,20,"Mad Thobii, Idzhar, Ikhfa, Al Qomariyah"
149,81,At-Takwir,21,"Mad Thobii, Ikhfa, Ghunnah"
150,81,At-Takwir,22,"Mad Thobii, Idzhar Syafawi, Qolqolah"
151,81,At-Takwir,23,"Qolqolah, Mad Badal, Al Qomariyah"
152,81,At-Takwir,24,"Mad Thobii, Al Qomariyah"
153,81,At-Takwir,25,"Mad Thobii, Idhghom Bilaghunnah"
154,81,At-Takwir,26,Mad Thobii
155,81,At-Takwir,27,"Idzhar, Mad Thobii, Idhghom Bilaghunnah"
156,81,At-Takwir,28,"Ikhfa, Mad Wajib Muttasil, Ikhfa, Idzhar Syafawi, Idhghom Bighunnah"
157,81,At-Takwir,29,"Mad Thobii, Mad Wajib Muttasil, Mad Jaiz Munfasil, Idhghom Bighunnah, Al Qomariyah"
158,82,Al-Infithar,1,"Asy Syamsiyah, Mad Wajib Muttasil, Ikhfa"
159,82,Al-Infithar,2,"Al Qomariyah, Mad Thobii, Ikhfa"
160,82,Al-Infithar,3,"Al Qomariyah, Mad Thobii"
161,82,Al-Infithar,4,"Al Qomariyah, Mad Thobii"
162,82,Al-Infithar,5,Idhghom Bighunnah
163,82,Al-Infithar,6,"Mad Jaiz Munfasil, Al Qomariyah, Ikhfa, Mad Thobii"
164,82,Al-Infithar,7,"Asy Syamsiyah, Mad Thobii"
165,82,Al-Infithar,8,"Mad Jaiz Munfasil, Mad Thobii, Idhghom Bighunnah, Mad Wajib Muttasil"
166,82,Al-Infithar,9,"Mad Thobii, Mad Thobii, Asy Syamsiyah"
167,82,Al-Infithar,10,"Ghunnah, Idzhar Syafawi, Mad Thobii"
168,82,Al-Infithar,11,"Mad Thobii, Ikhfa"
169,82,Al-Infithar,12,Mad Thobii
170,82,Al-Infithar,13,"Ghunnah, Al Qomariyah, Qolqolah, Mad Thobii"
171,82,Al-Infithar,14,"Ghunnah, Al Qomariyah, Mad Thobii"
172,82,Al-Infithar,15,"Mad Thobii, Asy Syamsiyah"
173,82,Al-Infithar,16,"Mad Thobii, Idzhar Syafawi, Idzhar, Mad Wajib Muttasil"
174,82,Al-Infithar,17,"Mad Jaiz Munfasil, Qolqolah, Mad Thobii, Asy Syamsiyah"
175,82,Al-Infithar,18,"Ghunnah, Mad Jaiz Munfasil, Qolqolah, Mad Thobii, Asy Syamsiyah"
176,82,Al-Infithar,19,"Mad Thobii, Idzhar Syafawi, Idhghom Bilaghunnah, Ikhfa, Idhghom Bighunnah, Al Qomariyah"
177,83,Al-Muthaffifin,1,Idhghom Bilaghunnah
178,83,Al-Muthaffifin,2,"Asy Syamsiyah, Mad Thobii, Ghunnah"
179,83,Al-Muthaffifin,3,"Mad Thobii, Idzhar Syafawi"
180,83,Al-Muthaffifin,4,"Mad Thobii, Ghunnah, Mad Wajib Muttasil, Idhghom Mitsli, Qolqolah"
181,83,Al-Muthaffifin,5,Idzhar
182,83,Al-Muthaffifin,6,"Mad Thobii, Asy Syamsiyah, Ghunnah, Al Qomariyah"
183,83,Al-Muthaffifin,7,"Mad Jaiz Munfasil, Ghunnah, Mad Thobii, Al Qomariyah"
184,83,Al-Muthaffifin,8,"Mad Jaiz Munfasil, Qolqolah, Mad Thobii"
185,83,Al-Muthaffifin,9,"Mad Thobii, Idhghom Bighunnah"
186,83,Al-Muthaffifin,10,"Idhghom Bighunnah, Idhghom Bilaghunnah"
187,83,Al-Muthaffifin,11,"Asy Syamsiyah, Mad Thobii"
188,83,Al-Muthaffifin,12,"Mad Thobii, Mad Shilah Thowilah, Idzhar"
189,83,Al-Muthaffifin,13,"Mad Thobii, Mad Badal, Al Qomariyah"
190,83,Al-Muthaffifin,14,"Mad Thobii, Idhghom Mitsli"
191,83,Al-Muthaffifin,15,"Mad Jaiz Munfasil, Ghunnah, Idzhar Syafawi, Idhghom Bilaghunnah"
192,83,Al-Muthaffifin,16,"Ghunnah, Idzhar Syafawi, Mad Thobii, Al Qomariyah"
193,83,Al-Muthaffifin,17,"Ghunnah, Mad Thobii, Asy Syamsiyah, Ikhfa, Ikhfa Syafawi, Mad Shilah Qoshiroh"
194,83,Al-Muthaffifin,18,"Mad Jaiz Munfasil, Ghunnah, Mad Thobii, Al Qomariyah, Qolqolah"
195,83,Al-Muthaffifin,19,"Mad Jaiz Munfasil, Qolqolah, Mad Thobii"
196,83,Al-Muthaffifin,20,"Mad Thobii, Idhghom Bighunnah"
197,83,Al-Muthaffifin,21,Al Qomariyah
198,83,Al-Muthaffifin,22,"Ghunnah, Al Qomariyah, Qolqolah, Mad Thobii"
199,83,Al-Muthaffifin,23,"Al Qomariyah, Mad Wajib Muttasil, Ikhfa"
200,83,Al-Muthaffifin,24,"Mad Thobii, Idzhar Syafawi, Asy Syamsiyah, Ghunnah"
201,83,Al-Muthaffifin,25,"Idhghom Bilaghunnah, Mad Thobii, Idhghom Bighunnah"
202,83,Al-Muthaffifin,26,"Mad Thobii, Mad Shilah Qoshiroh, Ikhfa, Al Qomariyah"
203,83,Al-Muthaffifin,27,"Mad Thobii, Mad Shilah Qoshiroh, Ikhfa"
204,83,Al-Muthaffifin,28,"Idhghom Bighunnah, Al Qomariyah"
205,83,Al-Muthaffifin,29,"Ghunnah, Asy Syamsiyah, Mad Thobii, Qolqolah, Asy Syamsiyah, Mad Badal"
206,83,Al-Muthaffifin,30,"Mad Thobii, Idzhar Syafawi"
207,83,Al-Muthaffifin,31,"Ikhfa, Mad Jaiz Munfasil, Mad Thobii"
208,83,Al-Muthaffifin,32,"Mad Thobii, Idzhar Syafawi, Mad Jaiz Munfasil, Ghunnah, Mad Wajib Muttasil, Mad Lazim Mutsaqqol Kalimi"
209,83,Al-Muthaffifin,33,"Mad Jaiz Munfasil, Mad Thobii, Idzhar Syafawi"
210,83,Al-Muthaffifin,34,"Al Qomariyah, Asy Syamsiyah, Mad Thobii, Mad Badal"
211,83,Al-Muthaffifin,35,"Al Qomariyah, Mad Wajib Muttasil, Ikhfa"
212,83,Al-Muthaffifin,36,"Al Qomariyah, Mad Thobii"
213,84,Al-Insyiqaq,1,"Asy Syamsiyah, Mad Wajib Muttasil, Ikhfa"
214,84,Al-Insyiqaq,2,Mad Thobii
215,84,Al-Insyiqaq,3,Al Qomariyah
216,84,Al-Insyiqaq,4,Mad Thobii
217,84,Al-Insyiqaq,5,Mad Thobii
218,84,Al-Insyiqaq,6,"Mad Jaiz Munfasil, Mad Thobii, Al Qomariyah, Ghunnah, Idzhar, Qolqolah, Ikhfa"
219,84,Al-Insyiqaq,7,"Ghunnah, Mad Thobii, Idzhar, Mad Badal, Mad Shilah Qoshiroh"
220,84,Al-Insyiqaq,8,"Mad Thobii, Idhghom Bighunnah, Mad Iwadh"
221,84,Al-Insyiqaq,9,"Ikhfa, Mad Jaiz Munfasil, Mad Shilah Qoshiroh, Mad Thobii"
222,84,Al-Insyiqaq,10,"Ghunnah, Mad Thobii, Idzhar, Mad Badal, Mad Shilah Qoshiroh, Mad Wajib Muttasil"
223,84,Al-Insyiqaq,11,"Qolqolah, Mad Thobii, Mad Iwadh"
224,84,Al-Insyiqaq,12,"Mad Thobii, Mad Iwadh"
225,84,Al-Insyiqaq,13,"Ghunnah, Mad Shilah Qoshiroh, Mad Thobii, Mad Jaiz Munfasil"
226,84,Al-Insyiqaq,14,"Ghunnah, Mad Shilah Qoshiroh, Idhghom Bilaghunnah, Idhghom Bighunnah"
227,84,Al-Insyiqaq,15,"Mad Jaiz Munfasil, Ghunnah, Mad Shilah Qoshiroh, Mad Thobii, Mad Iwadh"
228,84,Al-Insyiqaq,16,"Mad Jaiz Munfasil, Qolqolah, Asy Syamsiyah"
229,84,Al-Insyiqaq,17,"Asy Syamsiyah, Mad Thobii, Qolqolah"
230,84,Al-Insyiqaq,18,"Al Qomariyah, Mad Thobii, Qolqolah"
231,84,Al-Insyiqaq,19,"Ghunnah, Idzhar, Qolqolah"
232,84,Al-Insyiqaq,20,"Mad Thobii, Idzhar Syafawi"
233,84,Al-Insyiqaq,21,"Mad Thobii, Al Qomariyah, Mad Badal"
234,84,Al-Insyiqaq,22,"Asy Syamsiyah, Mad Thobii"
235,84,Al-Insyiqaq,23,Mad Thobii
236,84,Al-Insyiqaq,24,"Ikhfa Syafawi, Mad Thobii, Idzhar"
237,84,Al-Insyiqaq,25,"Asy Syamsiyah, Mad Thobii, Mad Badal, Idzhar Syafawi, Qolqolah, Idzhar"
238,85,Al-Buruj,1,"Asy Syamsiyah, Mad Thobii, Al Qomariyah, Qolqolah"
239,85,Al-Buruj,2,"Al Qomariyah, Qolqolah"
240,85,Al-Buruj,3,"Mad Thobii, Idhghom Bighunnah, Qolqolah"
241,85,Al-Buruj,4,"Mad Thobii, Al Qomariyah, Qolqolah"
242,85,Al-Buruj,5,"Asy Syamsiyah, Ghunnah, Mad Thobii, Al Qomariyah, Qolqolah"
243,85,Al-Buruj,6,"Idzhar Syafawi, Mad Thobii, Qolqolah"
244,85,Al-Buruj,7,"Idzhar Syafawi, Mad Thobii, Al Qomariyah, Qolqolah"
245,85,Al-Buruj,8,"Mad Thobii, Idzhar, Idzhar Syafawi, Mad Jaiz Munfasil, Idhghom Bighunnah, Al Qomariyah, Qolqolah"
246,85,Al-Buruj,9,"Asy Syamsiyah, Mad Thobii, Mad Shilah Qoshiroh, Al Qomariyah, Ikhfa, Qolqolah"
247,85,Al-Buruj,10,"Ghunnah, Asy Syamsiyah, Mad Thobii, Al Qomariyah, Idzhar Syafawi, Qolqolah"
248,85,Al-Buruj,11,"Ghunnah, Asy Syamsiyah, Mad Thobii, Mad Badal, Idzhar Syafawi, Ikhfa, Al Qomariyah, Idzhar"
249,85,Al-Buruj,12,"Ghunnah, Qolqolah"
250,85,Al-Buruj,13,"Ghunnah, Mad Shilah Qoshiroh, Qolqolah"
251,85,Al-Buruj,14,"Al Qomariyah, Mad Thobii"
252,85,Al-Buruj,15,Al Qomariyah
253,85,Al-Buruj,16,"Mad Thobii, Idhghom Bilaghunnah, Qolqolah"
254,85,Al-Buruj,17,"Mad Thobii, Al Qomariyah, Qolqolah"
255,85,Al-Buruj,18,Mad Thobii
256,85,Al-Buruj,19,"Asy Syamsiyah, Mad Thobii, Qolqolah"
257,85,Al-Buruj,20,"Mad Thobii, Idhghom Bighunnah, Mad Wajib Muttasil, Idhghom Mitsli, Qolqolah"
258,85,Al-Buruj,21,"Mad Badal, Idhghom Bighunnah, Qolqolah"
259,85,Al-Buruj,22,"Mad Thobii, Idhghom Bighunnah"
260,86,At-Thoriq,1,"Asy Syamsiyah, Mad Wajib Muttasil, Qolqolah"
261,86,At-Thoriq,2,"Mad Jaiz Munfasil, Qolqolah, Mad Thobii, Asy Syamsiyah"
262,86,At-Thoriq,3,"Asy Syamsiyah, Ghunnah, Qolqolah, Mad Thobii"
263,86,At-Thoriq,4,"Ikhfa, Idhghom Bilaghunnah, Ghunnah, Mad Thobii"
264,86,At-Thoriq,5,"Ikhfa, Al Qomariyah, Mad Thobii, Ghunnah, Qolqolah"
265,86,At-Thoriq,6,"Idhghom Bighunnah, Mad Wajib Muttasil, Ikhfa, Mad Thobii, Qolqolah"
266,86,At-Thoriq,7,"Iqlab, Asy Syamsiyah, Mad Wajib Muttasil, Qolqolah"
267,86,At-Thoriq,8,"Ghunnah, Mad Shilah Qoshiroh, Mad Thobii, Qolqolah"
268,86,At-Thoriq,9,"Qolqolah, Asy Syamsiyah, Mad Wajib Muttasil"
269,86,At-Thoriq,10,"Mad Thobii, Mad Shilah Qoshiroh, Ikhfa, Idhghom Bighunnah"
270,86,At-Thoriq,11,"Asy Syamsiyah, Mad Wajib Muttasil, Mad Thobii, Qolqolah"
271,86,At-Thoriq,12,"Al Qomariyah, Mad Thobii, Qolqolah"
272,86,At-Thoriq,13,"Ghunnah, Mad Shilah Qoshiroh, Ikhfa"
273,86,At-Thoriq,14,"Mad Thobii, Al Qomariyah"
274,86,At-Thoriq,15,"Ghunnah, Idzhar Syafawi, Mad Thobii, Mad Iwadh"
