id,no_surah,nama_surah,ayat,hukum_tajwid
275,86,At-Thoriq,16,"Mad Thobii, Mad Iwadh"
276,86,At-Thoriq,17,"Al Qomariyah, Mad Thobii, Idzhar Syafawi, Mad Iwadh"
277,87,Al-A'la,1,Al Qomariyah
278,87,Al-A'la,2,"Asy Syamsiyah, Mad Thobii"
279,87,Al-A'la,3,"Asy Syamsiyah, Mad Thobii"
280,87,Al-A'la,4,"Asy Syamsiyah, Mad Jaiz Munfasil, Al Qomariyah"
281,87,Al-A'la,5,"Mad Shilah Qoshiroh, Mad Wajib Muttasil, Idzhar"
282,87,Al-A'la,6,"Qolqolah, Mad Thobii, Ikhfa"
283,87,Al-A'la,7,"Mad Thobii, Mad Wajib Muttasil, Ghunnah, Mad Shilah Qoshiroh, Al Qomariyah"
284,87,Al-A'la,8,Mad Thobii
285,87,Al-A'la,9,"Idhghom Bighunnah, Asy Syamsiyah"
286,87,Al-A'la,10,Idhghom Bighunnah
287,87,Al-A'la,11,"Ghunnah, Al Qomariyah"
288,87,Al-A'la,12,"Asy Syamsiyah, Mad Thobii, Ghunnah, Al Qomariyah"
289,87,Al-A'la,13,"Ghunnah, Mad Thobii"
290,87,Al-A'la,14,"Qolqolah, Ikhfa"
291,87,Al-A'la,15,Mad Shilah Qoshiroh
292,87,Al-A'la,16,"Mad Thobii, Al Qomariyah, Asy Syamsiyah, Idzhar Wajib"
293,87,Al-A'la,17,"Al Qomariyah, Mad Badal, Idhghom Bighunnah, Qolqolah"
294,87,Al-A'la,18,"Ghunnah, Mad Thobii, Asy Syamsiyah, Al Qomariyah, Mad Badal"
295,87,Al-A'la,19,"Qolqolah, Mad Thobii"
296,88,Al-Ghosyiyah,1,"Mad Thobii, Al Qomariyah"
297,88,Al-Ghosyiyah,2,"Mad Thobii, Idhghom Bighunnah, Idzhar"
298,88,Al-Ghosyiyah,3,"Mad Thobii, Ghunnah"
299,88,Al-Ghosyiyah,4,"Mad Thobii, Idzhar"
300,88,Al-Ghosyiyah,5,"Mad Thobii, Idzhar, Mad Badal"
301,88,Al-Ghosyiyah,6,"Idzhar Syafawi, Mad Thobii, Idzhar, Ikhfa"
302,88,Al-Ghosyiyah,7,"Mad Thobii, Ikhfa"
303,88,Al-Ghosyiyah,8,"Mad Thobii, Idhghom Bighunnah"
304,88,Al-Ghosyiyah,9,Mad Thobii
305,88,Al-Ghosyiyah,10,"Mad Thobii, Ghunnah, Idzhar"
306,88,Al-Ghosyiyah,11,Mad Thobii
307,88,Al-Ghosyiyah,12,"Mad Thobii, Ikhfa"
308,88,Al-Ghosyiyah,13,"Mad Thobii, Idhghom Bighunnah"
309,88,Al-Ghosyiyah,14,"Mad Thobii, Idhghom Bighunnah"
310,88,Al-Ghosyiyah,15,Mad Thobii
311,88,Al-Ghosyiyah,16,"Mad Thobii, Qolqolah"
312,88,Al-Ghosyiyah,17,"Mad Thobii, Ikhfa, Al Qomariyah"
313,88,Al-Ghosyiyah,18,"Asy Syamsiyah, Mad Wajib Muttasil"
314,88,Al-Ghosyiyah,19,"Al Qomariyah, Mad Thobii"
315,88,Al-Ghosyiyah,20,Al Qomariyah
316,88,Al-Ghosyiyah,21,"Ghunnah, Mad Jaiz Munfasil, Ikhfa"
317,88,Al-Ghosyiyah,22,Ikhfa Syafawi
318,88,Al-Ghosyiyah,23,"Mad Thobii, Ikhfa"
319,88,Al-Ghosyiyah,24,"Mad Thobii, Al Qomariyah"
320,88,Al-Ghosyiyah,25,"Ghunnah, Mad Jaiz Munfasil, Mad Thobii"
321,88,Al-Ghosyiyah,26,"Ghunnah, Mad Thobii"
322,89,Al-Fajr,1,"Al Qomariyah, Qolqolah"
323,89,Al-Fajr,2,"Mad Thobii, Idzhar"
324,89,Al-Fajr,3,"Asy Syamsiyah, Al Qomariyah"
325,89,Al-Fajr,4,"Asy Syamsiyah, Mad Thobii"
326,89,Al-Fajr,5,"Mad Thobii, Idhghom Bilaghunnah, Qolqolah"
327,89,Al-Fajr,6,"Idzhar Syafawi, Qolqolah"
328,89,Al-Fajr,7,"Mad Thobii, Al Qomariyah, Qolqolah"
329,89,Al-Fajr,8,"Asy Syamsiyah, Mad Thobii, Idzhar Syafawi, Qolqolah, Al Qomariyah"
330,89,Al-Fajr,9,"Mad Thobii, Asy Syamsiyah, Al Qomariyah, Qolqolah"
331,89,Al-Fajr,10,"Al Qomariyah, Qolqolah"
332,89,Al-Fajr,11,"Asy Syamsiyah, Mad Thobii, Al Qomariyah, Qolqolah"
333,89,Al-Fajr,12,"Mad Thobii, Al Qomariyah, Qolqolah"
334,89,Al-Fajr,13,"Idzhar Syafawi, Qolqolah"
335,89,Al-Fajr,14,"Ghunnah, Al Qomariyah, Qolqolah"
336,89,Al-Fajr,15,"Ghunnah, Mad Thobii, Al Qomariyah, Ikhfa, Qolqolah, Mad Shilah Qoshiroh, Mad Jaiz Munfasil"
337,89,Al-Fajr,16,"Ghunnah, Mad Jaiz Munfasil, Mad Thobii, Qolqolah, Mad Shilah Qoshiroh"
338,89,Al-Fajr,17,"Mad Thobii, Al Qomariyah"
339,89,Al-Fajr,18,"Mad Thobii, Mad Lazim Mutsaqqol Kalimi, Al Qomariyah"
340,89,Al-Fajr,19,"Mad Thobii, Asy Syamsiyah, Idhghom Bilaghunnah, Ghunnah, Mad Iwadh"
341,89,Al-Fajr,20,"Mad Thobii, Al Qomariyah, Ikhfa, Ghunnah, Mad Iwadh"
342,89,Al-Fajr,21,"Mad Jaiz Munfasil, Mad Thobii, Al Qomariyah, Ikhfa, Mad Iwadh"
343,89,Al-Fajr,22,"Mad Wajib Muttasil, Al Qomariyah, Ikhfa, Mad Iwadh"
344,89,Al-Fajr,23,"Mad Wajib Muttasil, Iqlab, Ghunnah, Idhghom Bighunnah, Al Qomariyah, Ikhfa, Mad Thobii, Asy Syamsiyah"
345,89,Al-Fajr,24,"Mad Thobii, Idzhar Syafawi"
346,89,Al-Fajr,25,"Idhghom Bilaghunnah, Mad Thobii, Mad Shilah Thowilah, Qolqolah"
347,89,Al-Fajr,26,"Mad Thobii, Mad Shilah Thowilah, Qolqolah"
348,89,Al-Fajr,27,"Mad Jaiz Munfasil, Asy Syamsiyah, Ghunnah, Al Qomariyah, Qolqolah"
349,89,Al-Fajr,28,"Mad Jaiz Munfasil, Mad Thobii, Idhghom Bighunnah"
350,89,Al-Fajr,29,"Qolqolah, Mad Thobii"
351,89,Al-Fajr,30,"Qolqolah, Mad Thobii, Ghunnah"
352,90,Al-Balad,1,"Mad Jaiz Munfasil, Qolqolah, Mad Thobii, Al Qomariyah"
353,90,Al-Balad,2,"Ikhfa, Iqlab, Mad Thobii, Al Qomariyah, Qolqolah"
354,90,Al-Balad,3,"Mad Thobii, Idhghom Bighunnah, Qolqolah"
355,90,Al-Balad,4,"Qolqolah, Al Qomariyah, Ikhfa, Mad Thobii"
356,90,Al-Balad,5,"Idhghom Bilaghunnah, Idhghom Bighunnah, Qolqolah"
357,90,Al-Balad,6,"Mad Thobii, Idhghom Bilaghunnah, Mad Iwadh"
358,90,Al-Balad,7,"Idhghom Bilaghunnah, Idzhar Syafawi, Mad Shilah Thowilah, Qolqolah"
359,90,Al-Balad,8,"Idzhar Syafawi, Qolqolah, Mad Shilah Thowilah"
360,90,Al-Balad,9,"Mad Thobii, Idhghom Bighunnah"
361,90,Al-Balad,10,"Mad Thobii, Asy Syamsiyah, Ghunnah, Qolqolah"
362,90,Al-Balad,11,"Qolqolah, Al Qomariyah"
363,90,Al-Balad,12,"Mad Jaiz Munfasil, Qolqolah, Mad Thobii, Al Qomariyah"
364,90,Al-Balad,13,Idzhar
365,90,Al-Balad,14,"Qolqolah, Mad Thobii, Ikhfa"
366,90,Al-Balad,15,"Mad Thobii, Ikhfa, Qolqolah"
367,90,Al-Balad,16,"Mad Thobii, Ikhfa"
368,90,Al-Balad,17,"Ghunnah, Mad Thobii, Asy Syamsiyah, Mad Badal, Qolqolah, Al Qomariyah"
369,90,Al-Balad,18,"Mad Wajib Muttasil, Mad Thobii, Al Qomariyah"
370,90,Al-Balad,19,"Asy Syamsiyah, Mad Thobii, Mad Badal, Idzhar Syafawi, Al Qomariyah"
371,90,Al-Balad,20,"Idzhar Syafawi, Mad Thobii, Idhghom Bighunnah"
372,91,Asy-Syams,1,"Asy Syamsiyah, Mad Thobii"
373,91,Asy-Syams,2,"Al Qomariyah, Mad Thobii"
374,91,Asy-Syams,3,"Asy Syamsiyah, Ghunnah, Mad Thobii"
375,91,Asy-Syams,4,"Asy Syamsiyah, Mad Thobii"
376,91,Asy-Syams,5,"Asy Syamsiyah, Mad Wajib Muttasil, Mad Thobii"
377,91,Asy-Syams,6,"Al Qomariyah, Mad Thobii"
378,91,Asy-Syams,7,"Idhghom Bighunnah, Mad Thobii"
379,91,Asy-Syams,8,"Mad Thobii, Qolqolah"
380,91,Asy-Syams,9,"Qolqolah, Ikhfa, Mad Thobii"
381,91,Asy-Syams,10,"Qolqolah, Mad Thobii, Ikhfa"
382,91,Asy-Syams,11,Mad Thobii
383,91,Asy-Syams,12,"Iqlab, Mad Thobii"
384,91,Asy-Syams,13,"Mad Thobii, Idzhar Syafawi, Qolqolah"
385,91,Asy-Syams,14,"Mad Thobii, Idzhar Syafawi, Ikhfa Syafawi, Iqlab"
386,91,Asy-Syams,15,"Mad Thobii, Qolqolah"
387,92,Al-Lail,1,"Asy Syamsiyah, Mad Thobii"
388,92,Al-Lail,2,"Asy Syamsiyah, Ghunnah, Mad Thobii"
389,92,Al-Lail,3,"Mad Thobii, Asy Syamsiyah, Al Qomariyah, Ikhfa"
390,92,Al-Lail,4,"Ghunnah, Idzhar Syafawi"
391,92,Al-Lail,5,"Ghunnah, Mad Thobii, Idzhar"
392,92,Al-Lail,6,Al Qomariyah
393,92,Al-Lail,7,Mad Shilah Qoshiroh
394,92,Al-Lail,8,"Ghunnah, Mad Thobii, Iqlab"
395,92,Al-Lail,9,Al Qomariyah
396,92,Al-Lail,10,Mad Shilah Qoshiroh
397,92,Al-Lail,11,"Mad Thobii, Idzhar, Mad Shilah Thowilah"
398,92,Al-Lail,12,"Ghunnah, Mad Thobii"
399,92,Al-Lail,13,"Ghunnah, Mad Thobii, Mad Badal, Al Qomariyah"
400,92,Al-Lail,14,"Ikhfa, Idzhar Syafawi, Mad Thobii"
401,92,Al-Lail,15,"Mad Thobii, Mad Jaiz Munfasil, Al Qomariyah"
402,92,Al-Lail,16,"Asy Syamsiyah, Mad Thobii"
403,92,Al-Lail,17,"Ghunnah, Al Qomariyah"
404,92,Al-Lail,18,"Asy Syamsiyah, Mad Thobii, Mad Shilah Qoshiroh"
405,92,Al-Lail,19,"Mad Thobii, Idzhar, Ikhfa, Mad Shilah Qoshiroh, Idhghom Bighunnah, Qolqolah"
406,92,Al-Lail,20,"Qolqolah, Mad Wajib Muttasil, Al Qomariyah"
407,92,Al-Lail,21,Mad Thobii
408,93,Adh-Dhuha,1,Asy Syamsiyah
409,93,Adh-Dhuha,2,"Asy Syamsiyah, Mad Thobii"
410,93,Adh-Dhuha,3,Mad Thobii
411,93,Adh-Dhuha,4,"Mad Badal, Idhghom Bilaghunnah, Al Qomariyah"
412,93,Adh-Dhuha,5,Mad Thobii
413,93,Adh-Dhuha,6,"Idzhar Syafawi, Qolqolah, Mad Thobii, Ikhfa, Mad Badal"
414,93,Adh-Dhuha,7,"Mad Lazim Mutsaqqol Kalimi, Ikhfa"
415,93,Adh-Dhuha,8,"Mad Wajib Muttasil, Ikhfa"
416,93,Adh-Dhuha,9,"Ghunnah, Mad Thobii, Al Qomariyah, Qolqolah"
417,93,Adh-Dhuha,10,"Ghunnah, Mad Thobii, Asy Syamsiyah, Mad Wajib Muttasil, Idzhar"
418,93,Adh-Dhuha,11,"Ghunnah, Mad Thobii"
419,94,Al-Insyirah,1,"Idzhar Syafawi, Qolqolah"
420,94,Al-Insyirah,2,"Mad Thobii, Ikhfa"
421,94,Al-Insyirah,3,"Asy Syamsiyah, Mad Jaiz Munfasil, Ikhfa"
422,94,Al-Insyirah,4,Mad Thobii
423,94,Al-Insyirah,5,"Ghunnah, Al Qomariyah"
424,94,Al-Insyirah,6,"Ghunnah, Al Qomariyah"
425,94,Al-Insyirah,7,"Mad Thobii, Ikhfa, Qolqolah"
426,94,Al-Insyirah,8,"Mad Thobii, Qolqolah"
427,95,At-Tin,1,"Asy Syamsiyah, Mad Thobii"
428,95,At-Tin,2,Mad Thobii
429,95,At-Tin,3,"Mad Thobii, Al Qomariyah"
430,95,At-Tin,4,"Qolqolah, Al Qomariyah, Mad Jaiz Munfasil"
431,95,At-Tin,5,"Ghunnah, Qolqolah, Mad Thobii, Mad Shilah Qoshiroh"
432,95,At-Tin,6,"Asy Syamsiyah, Mad Thobii, Mad Badal, Idzhar Syafawi, Qolqolah, Idzhar"
433,95,At-Tin,7,"Mad Thobii, Asy Syamsiyah"
434,95,At-Tin,8,"Mad Thobii, Al Qomariyah"
435,96,Al-Alaq,1,"Qolqolah, Asy Syamsiyah, Mad Thobii"
436,96,Al-Alaq,2,"Al Qomariyah, Ikhfa, Mad Thobii, Idzhar"
437,96,Al-Alaq,3,"Qolqolah, Al Qomariyah"
438,96,Al-Alaq,4,"Asy Syamsiyah, Mad Thobii, Al Qomariyah"
439,96,Al-Alaq,5,"Al Qomariyah, Ikhfa, Idzhar Syafawi"
440,96,Al-Alaq,6,"Mad Jaiz Munfasil, Ghunnah, Al Qomariyah, Mad Thobii, Qolqolah"
441,96,Al-Alaq,7,"Idhghom Bilaghunnah, Mad Badal"
442,96,Al-Alaq,8,"Ghunnah, Mad Thobii, Asy Syamsiyah, Qolqolah"
443,96,Al-Alaq,9,"Asy Syamsiyah, Mad Thobii, Idzhar"
444,96,Al-Alaq,10,"Qolqolah, Idzhar, Mad Thobii"
445,96,Al-Alaq,11,"Ikhfa, Mad Thobii, Al Qomariyah"
446,96,Al-Alaq,12,"Asy Syamsiyah, Qolqolah"
447,96,Al-Alaq,13,"Ikhfa, Mad Thobii"
448,96,Al-Alaq,14,"Idzhar Syafawi, Ikhfa Syafawi, Ghunnah, Mad Thobii"
449,96,Al-Alaq,15,"Idhghom Bilaghunnah, Ikhfa, Iqlab, Asy Syamsiyah, Ghunnah, Mad Thobii"
450,96,Al-Alaq,16,"Mad Thobii, Ikhfa, Idzhar"
451,96,Al-Alaq,17,"Qolqolah, Mad Thobii"
452,96,Al-Alaq,18,"Qolqolah, Asy Syamsiyah, Mad Thobii"
453,96,Al-Alaq,19,"Mad Thobii, Qolqolah"
454,97,Al-Qadr,1,"Ghunnah, Mad Jaiz Munfasil, Ikhfa, Mad Thobii, Al Qomariyah, Qolqolah"
455,97,Al-Qadr,2,"Mad Jaiz Munfasil, Qolqolah, Mad Thobii, Al Qomariyah"
456,97,Al-Qadr,3,"Al Qomariyah, Qolqolah, Idhghom Bighunnah, Idzhar"
457,97,Al-Qadr,4,"Al Qomariyah, Mad Wajib Muttasil, Asy Syamsiyah, Mad Thobii, Idhghom Mitsli, Ikhfa, Idzhar Syafawi"
458,97,Al-Qadr,5,"Mad Thobii, Idzhar, Qolqolah, Al Qomariyah"
459,98,Al-Bayyinah,1,"Idzhar Syafawi, Asy Syamsiyah, Mad Thobii, Idzhar, Al Qomariyah, Ikhfa"
460,98,Al-Bayyinah,2,"Mad Thobii, Idhghom Bighunnah"
461,98,Al-Bayyinah,3,"Mad Thobii, Ikhfa"
462,98,Al-Bayyinah,4,"Mad Thobii, Asy Syamsiyah, Mad Thobii, Mad Badal, Al Qomariyah, Iqlab, Mad Wajib Muttasil"
463,98,Al-Bayyinah,5,"Mad Jaiz Munfasil, Mad Thobii, Asy Syamsiyah, Mad Wajib Muttasil"
464,98,Al-Bayyinah,6,"Ghunnah, Asy Syamsiyah, Mad Thobii, Idzhar, Al Qomariyah, Mad Wajib Muttasil, Idzhar Syafawi"
465,98,Al-Bayyinah,7,"Ghunnah, Asy Syamsiyah, Mad Thobii, Mad Badal, Mad Wajib Muttasil, Idzhar Syafawi, Al Qomariyah"
466,98,Al-Bayyinah,8,"Mad Wajib Muttasil, Idzhar Syafawi, Ikhfa, Ghunnah, Mad Thobii, Qolqolah, Al Qomariyah, Mad Jaiz Munfasil, Idzhar"
467,99,Al-Zalzalah,1,"Mad Thobii, Al Qomariyah"
468,99,Al-Zalzalah,2,"Al Qomariyah, Mad Thobii"
469,99,Al-Zalzalah,3,"Mad Thobii, Al Qomariyah"
470,99,Al-Zalzalah,4,"Ikhfa, Mad Thobii"
471,99,Al-Zalzalah,5,"Ghunnah, Mad Thobii"
472,99,Al-Zalzalah,6,"Idhghom Bighunnah, Asy Syamsiyah, Ghunnah, Mad Thobii"
473,99,Al-Zalzalah,7,"Idhghom Bighunnah, Mad Thobii, Idzhar"
474,99,Al-Zalzalah,8,"Idhghom Bighunnah, Mad Thobii, Ikhfa"
475,100,Al-Adiyat,1,"Al Qomariyah, Mad Thobii, Qolqolah, Mad Iwadh"
476,100,Al-Adiyat,2,"Al Qomariyah, Mad Thobii, Qolqolah, Mad Iwadh"
477,100,Al-Adiyat,3,"Al Qomariyah, Mad Thobii, Qolqolah, Mad Iwadh"
478,100,Al-Adiyat,4,"Mad Shilah Qoshiroh, Qolqolah, Mad Iwadh"
479,100,Al-Adiyat,5,"Qolqolah, Mad Shilah Qoshiroh, Idzhar Syafawi, Mad Iwadh"
480,100,Al-Adiyat,6,"Ghunnah, Al Qomariyah, Ikhfa, Mad Thobii, Mad Shilah Qoshiroh, Qolqolah"
481,100,Al-Adiyat,7,"Ghunnah, Mad Shilah Qoshiroh, Mad Thobii"
482,100,Al-Adiyat,8,"Ghunnah, Mad Shilah Qoshiroh, Al Qomariyah, Qolqolah"
483,100,Al-Adiyat,9,"Mad Thobii, Al Qomariyah"
484,100,Al-Adiyat,10,"Mad Thobii, Asy Syamsiyah"
485,100,Al-Adiyat,11,"Ghunnah, Ikhfa Syafawi, Idzhar Syafawi, Idhghom Bilaghunnah"
486,101,Al-Qariah,1,Al Qomariyah
487,101,Al-Qariah,2,Al Qomariyah
488,101,Al-Qariah,3,"Mad Jaiz Munfasil, Qolqolah, Mad Thobii, Al Qomariyah"
489,101,Al-Qariah,4,"Mad Thobii, Asy Syamsiyah, Ghunnah, Mad Thobii, Al Qomariyah"
490,101,Al-Qariah,5,"Mad Thobii, Al Qomariyah, Ikhfa"
491,101,Al-Qariah,6,"Ghunnah, Mad Thobii, Ikhfa"
492,101,Al-Qariah,7,"Mad Thobii, Idhghom Bilaghunnah"
493,101,Al-Qariah,8,"Ghunnah, Mad Thobii, Idzhar"
494,101,Al-Qariah,9,"Ghunnah, Mad Shilah Qoshiroh, Mad Thobii"
495,101,Al-Qariah,10,"Mad Jaiz Munfasil, Qolqolah, Mad Thobii"
496,101,Al-Qariah,11,"Mad Thobii, Idzhar"
497,102,At-Takatsur,1,"Al Qomariyah, Mad Thobii, Asy Syamsiyah"
498,102,At-Takatsur,2,"Mad Thobii, Al Qomariyah"
499,102,At-Takatsur,3,Mad Thobii
500,102,At-Takatsur,4,"Ghunnah, Mad Thobii"
501,102,At-Takatsur,5,"Mad Thobii, Al Qomariyah"
502,102,At-Takatsur,6,"Ghunnah, Al Qomariyah"
503,102,At-Takatsur,7,"Ghunnah, Mad Thobii, Al Qomariyah"
504,102,At-Takatsur,8,"Ghunnah, Idzhar, Asy Syamsiyah"
505,103,Al-Ashr,1,Al Qomariyah
506,103,Al-Ashr,2,"Ghunnah, Al Qomariyah, Ikhfa, Mad Thobii"
507,103,Al-Ashr,3,"Asy Syamsiyah, Mad Thobii, Mad Badal, Al Qomariyah, Qolqolah"
508,104,Al-Humazah,1,Idhghom Bilaghunnah
509,104,Al-Humazah,2,"Asy Syamsiyah, Mad Thobii, Idhghom Bighunnah"
510,104,Al-Humazah,3,"Ghunnah, Mad Thobii, Mad Shilah Thowilah"
511,104,Al-Humazah,4,"Mad Thobii, Iqlab, Ghunnah, Al Qomariyah"
512,104,Al-Humazah,5,"Mad Jaiz Munfasil, Qolqolah, Mad Thobii, Al Qomariyah"
513,104,Al-Humazah,6,"Mad Thobii, Al Qomariyah"
514,104,Al-Humazah,7,"Asy Syamsiyah, Mad Thobii, Al Qomariyah"
515,104,Al-Humazah,8,"Ghunnah, Mad Thobii, Idhghom Mitsli"
516,104,Al-Humazah,9,"Mad Thobii, Idhghom Bighunnah"
517,105,Al-Fil,1,"Idzhar Syafawi, Mad Thobii, Al Qomariyah"
518,105,Al-Fil,2,"Idzhar Syafawi, Qolqolah, Mad Thobii"
519,105,Al-Fil,3,"Idzhar Syafawi, Idzhar, Mad Thobii"
520,105,Al-Fil,4,"Mad Thobii, Ikhfa Syafawi, Idhghom Bighunnah, Ikhfa"
521,105,Al-Fil,5,"Idzhar Syafawi, Idhghom Bighunnah"
522,106,Quraisy,1,Mad Thobii
523,106,Quraisy,2,"Mad Badal, Mad Thobii, Idzhar Syafawi, Asy Syamsiyah, Mad Wajib Muttasil"
524,106,Quraisy,3,"Mad Thobii, Al Qomariyah"
525,106,Quraisy,4,"Asy Syamsiyah, Mad Jaiz Munfasil, Qolqolah, Idhghom Mitsli, Ikhfa, Idhghom Bighunnah, Mad Badal, Idzhar"
526,107,Al-Maun,1,"Asy Syamsiyah, Mad Thobii"
527,107,Al-Maun,2,"Mad Thobii, Asy Syamsiyah, Al Qomariyah"
528,107,Al-Maun,3,"Mad Thobii, Al Qomariyah"
529,107,Al-Maun,4,Idhghom Bilaghunnah
530,107,Al-Maun,5,"Asy Syamsiyah, Mad Thobii, Idzhar Syafawi, Ikhfa"
531,107,Al-Maun,6,"Asy Syamsiyah, Mad Thobii, Idzhar Syafawi, Mad Wajib Muttasil"
532,107,Al-Maun,7,"Idzhar Syafawi, Al Qomariyah"
533,108,Al-Kautsar,1,"Ghunnah, Mad Jaiz Munfasil, Mad Thobii, Al Qomariyah"
534,108,Al-Kautsar,2,Idzhar
535,108,Al-Kautsar,3,"Ghunnah, Mad Thobii, Al Qomariyah, Qolqolah"
536,109,Al-Kafirun,1,"Mad Jaiz Munfasil, Al Qomariyah, Mad Thobii"
537,109,Al-Kafirun,2,"Mad Jaiz Munfasil, Mad Thobii"
538,109,Al-Kafirun,3,"Mad Jaiz Munfasil, Ikhfa, Idzhar Syafawi, Mad Thobii, Qolqolah"
539,109,Al-Kafirun,4,"Mad Jaiz Munfasil, Mad Thobii, Idhghom Bighunnah, Idhghom Mutajanisain"
540,109,Al-Kafirun,5,"Mad Jaiz Munfasil, Ikhfa, Idzhar Syafawi, Mad Thobii, Qolqolah"
541,109,Al-Kafirun,6,"Idzhar Syafawi, Mad Thobii"
542,110,An-Nashr,1,"Mad Thobii, Mad Wajib Muttasil, Al Qomariyah"
543,110,An-Nashr,2,"Asy Syamsiyah, Ghunnah, Mad Thobii, Qolqolah, Mad Iwadh"
544,110,An-Nashr,3,"Idzhar Syafawi, Ghunnah, Mad Shilah Qoshiroh, Mad Thobii, Mad Iwadh"
545,111,Al-Lahab,1,"Mad Jaiz Munfasil, Mad Thobii, Idhghom Bighunnah, Qolqolah"
546,111,Al-Lahab,2,"Mad Jaiz Munfasil, Mad Thobii, Idzhar, Mad Shilah Qoshiroh, Qolqolah"
547,111,Al-Lahab,3,"Mad Thobii, Ikhfa, Qolqolah"
548,111,Al-Lahab,4,"Idzhar Syafawi, Mad Shilah Qoshiroh, Ghunnah, Mad Thobii, Al Qomariyah, Qolqolah"
549,111,Al-Lahab,5,"Mad Thobii, Qolqolah, Idhghom Bighunnah"
550,112,Al-Ikhlash,1,"Mad Thobii, Qolqolah"
551,112,Al-Ikhlash,2,"Mad Thobii, Asy Syamsiyah, Qolqolah"
552,112,Al-Ikhlash,3,"Idzhar Syafawi, Qolqolah, Mad Thobii"
553,112,Al-Ikhlash,4,"Idzhar Syafawi, Idhghom Bilaghunnah, Mad Shilah Qoshiroh, Idzhar, Qolqolah"
554,113,Al-Falaq,1,"Mad Thobii, Al Qomariyah, Qolqolah"
555,113,Al-Falaq,2,"Ikhfa, Mad Thobii, Qolqolah"
556,113,Al-Falaq,3,"Ikhfa, Mad Thobii, Idzhar, Qolqolah"
557,113,Al-Falaq,4,"Ikhfa, Asy Syamsiyah, Ghunnah, Mad Thobii, Al Qomariyah, Qolqolah"
558,113,Al-Falaq,5,"Ikhfa, Mad Thobii, Idzhar, Qolqolah"
559,114,An-Nas,1,"Mad Thobii, Asy Syamsiyah, Ghunnah"
560,114,An-Nas,2,"Asy Syamsiyah, Ghunnah, Mad Thobii"
561,114,An-Nas,3,"Mad Thobii, Asy Syamsiyah, Ghunnah"
562,114,An-Nas,4,"Ikhfa, Al Qomariyah, Mad Thobii, Ghunnah"
563,114,An-Nas,5,"Asy Syamsiyah, Mad Thobii, Ghunnah"
564,114,An-Nas,6,"Al Qomariyah, Ghunnah, Asy Syamsiyah"